,name,broad_category,category,description,history,famous_view,image_1,image_2,image_3,image_4,image_5,location,best_time,entry_fee,rating,latitude,longitude,source,search_text
10,Sanjay Lake,Lakes & Water Bodies,Lake / Urban Wetland & Eco-Park,A vast 17-hectare artificial freshwater lake surrounded by a 69-hectare green woodland park that serves as a vital ecological and recreational lung for East Delhi.,"Developed in the 1970s by the Delhi Development Authority (DDA) to capture and manage urban rainwater runoff and create a recreational wetland ecosystem. It regularly attracts over 50 species of resident and migratory waterfowl, including spot-billed ducks, shovellers, common teals, and pintails during winter months. A modern adventure sports park and waterfront promenade were integrated to promote eco-tourism.",Lakeside waterfront promenade looking across the expansive water body as migratory birds skim the sunset reflection.,images/10/image 1.jpg,images/10/image 2.jpg,images/10/image 3.jpg,images/10/image 4.jpg,images/10/image 5.jpg,"Trilokpuri / Mayur Vihar Phase II, East Delhi",October to March (Morning 6:00 AM – 9:00 AM for bird watching or sunset),Free (Adventure park activities ticketed separately),4.2,28.6145,77.3032,Delhi Development Authority (DDA) / Eco-Tourism Division,"Name: Sanjay Lake. Category: Lake / Urban Wetland & Eco-Park. Description: A vast 17-hectare artificial freshwater lake surrounded by a 69-hectare green woodland park that serves as a vital ecological and recreational lung for East Delhi.. Location: Trilokpuri / Mayur Vihar Phase II, East Delhi. Best Time: October to March (Morning 6:00 AM – 9:00 AM for bird watching or sunset)."
11,Bhalswa Lake (Horseshoe Lake),Lakes & Water Bodies,Lake / Natural Oxbow Water Body,"One of Delhi's largest natural oxbow lakes formed by the meandering Yamuna River, featuring water sports, boating, and wetland ecology.","Originally formed hundreds of years ago as an oxbow lake by the changing natural course of the Yamuna River. In the late 20th century, the Delhi Administration developed water sports, kayaking, and a golf course around its banks. The wetland is being revived through extensive ecological restoration to re-establish native aquatic flora, recharge groundwater, and support winter migratory birds.",Water-level panoramic viewpoint overlooking the horseshoe curve of the open lake during winter morning mist.,images/11/image 1.jpg,images/11/image 2.jpg,images/11/image 3.jpg,images/11/image 4.jpg,images/11/image 5.jpg,"Bhalswa Jahangirpuri, North Delhi (Near Outer Ring Road)",November to February (Morning 7:00 AM – 10:00 AM),Free (Boating tariff as per counter),4.1,28.7412,77.165,Delhi Tourism & Transportation Development Corporation (DTTDC),"Name: Bhalswa Lake (Horseshoe Lake). Category: Lake / Natural Oxbow Water Body. Description: One of Delhi's largest natural oxbow lakes formed by the meandering Yamuna River, featuring water sports, boating, and wetland ecology.. Location: Bhalswa Jahangirpuri, North Delhi (Near Outer Ring Road). Best Time: November to February (Morning 7:00 AM – 10:00 AM)."
12,Naini Lake (Model Town),Lakes & Water Bodies,Lake / Urban Boating Lake & Promenade,"A picturesque urban lake in North Delhi nestled in Model Town, famous for pedal boating, scenic walking tracks, and illuminated fountains.","Maintained and rejuvenated by the Delhi Tourism and Municipal Corporation, Naini Lake was structured to provide a leisure and boating sanctuary in North Delhi. Named reminiscently after the famous lake in Nainital, it features weeping willows along the banks, aerating fountains that maintain water quality, and an evening-lit paved running track popular with residents.",Center-lake perspective from a pedal boat looking toward the fountain display and surrounding weeping willow trees.,images/12/image 1.jpg,images/12/image 2.jpg,images/12/image 3.jpg,images/12/image 4.jpg,images/12/image 5.jpg,"Model Town II, North Delhi",October to March (4:00 PM – 7:30 PM for sunset boating),₹20 for park entry; boating ₹100–₹150,4.2,28.7042,77.1918,Delhi Tourism (DTTDC),"Name: Naini Lake (Model Town). Category: Lake / Urban Boating Lake & Promenade. Description: A picturesque urban lake in North Delhi nestled in Model Town, famous for pedal boating, scenic walking tracks, and illuminated fountains.. Location: Model Town II, North Delhi. Best Time: October to March (4:00 PM – 7:30 PM for sunset boating)."
13,Hauz Khas Lake & Royal Tank (Hauz-i-Alai),Lakes & Water Bodies,Historical Water Reservoir & Lake,"A monumental medieval lake and royal reservoir flanked by the two-storey madrasa, pavilions, and the tomb of Firoz Shah Tughlaq.","Excavated in 1295 AD by Sultan Alauddin Khilji under the name 'Hauz-i-Alai' (Royal Tank) to supply drinking water to the nearby Siri Fort garrison. Silted up by the mid-14th century, Sultan Firoz Shah Tughlaq desilted the reservoir around 1352 AD, constructing a magnificent L-shaped theological Islamic seminary (Madrasa) and his own sandstone tomb along its eastern and northern shores. In the modern era, the lake was revitalized with aerating bio-remediation systems.",Elevated view from the upper arched colonnade of the Firoz Shah Madrasa looking across the serene water lake and surrounding forest canopy.,images/13/image 1.jpg,images/13/image 2.jpg,images/13/image 3.jpg,images/13/image 4.jpg,images/13/image 5.jpg,"Hauz Khas Village, South Delhi",October to March (Morning 7:30 AM or sunset 5:00 PM),"₹25 (Indians), ₹300 (Foreigners)",4.5,28.5528,77.1942,Archaeological Survey of India (ASI) / INTACH,"Name: Hauz Khas Lake & Royal Tank (Hauz-i-Alai). Category: Historical Water Reservoir & Lake. Description: A monumental medieval lake and royal reservoir flanked by the two-storey madrasa, pavilions, and the tomb of Firoz Shah Tughlaq.. Location: Hauz Khas Village, South Delhi. Best Time: October to March (Morning 7:30 AM or sunset 5:00 PM)."
14,Neela Hauz Lake,Lakes & Water Bodies,Lake / Eco-Restoration Wetland,A historic natural lake restored into a lush wetland sanctuary using constructed bio-filtering wetland systems and native flora.,"Historically served as an essential freshwater depression capturing runoff from the South Delhi Aravalli Ridge to supply drinking water to Rajput rulers in Qila Rai Pithora. In 2014–2016, following degradation from road construction, Delhi Development Authority and scientists from the Centre for Environmental Management of Degraded Ecosystems (CEMDE) implemented constructed wetlands that naturally treat millions of liters of water per day, converting it into a thriving wetland habitat for kingfishers and cormorants.",Walking bridge viewpoint overlooking the bio-gravel wetland filter beds with the shimmering blue water and water lilies in the foreground.,images/14/Image_1.jpg,images/14/Image_2.jpg,images/14/Image_3.jpg,images/14/Image_4.jpg,images/14/Image_5.jpg,"Aruna Asaf Ali Marg, Near Vasant Kunj & Sanjay Van, South Delhi",October to March (Morning 6:30 AM – 9:30 AM for tranquility and bird watching),Free,4.3,28.5385,77.1687,DDA / CEMDE Eco-Restoration Group,"Name: Neela Hauz Lake. Category: Lake / Eco-Restoration Wetland. Description: A historic natural lake restored into a lush wetland sanctuary using constructed bio-filtering wetland systems and native flora.. Location: Aruna Asaf Ali Marg, Near Vasant Kunj & Sanjay Van, South Delhi. Best Time: October to March (Morning 6:30 AM – 9:30 AM for tranquility and bird watching)."
15,Neelkanth Lake (Asola Bhatti Mines),Lakes & Water Bodies,Lake / Hidden Nature Canyon Lake,A deep emerald-blue lake nestled inside the former red-rock quartzite quarries of the Asola Bhatti Wildlife Sanctuary.,"Formed naturally in the late 1980s when abandoned silica and red-sand open-pit mining quarries accumulated deep groundwater and monsoon rainwater. Following the closure of mining and the establishment of the Asola Bhatti Wildlife Sanctuary in 1991, the Delhi Forest Department and Bombay Natural History Society (BNHS) conserved these water bodies as vital watering grounds for leopards, golden jackals, striped hyenas, and blackbucks.",High rocky ridge cliff overlooking the deep turquoise-blue water basin surrounded by sheer reddish Aravalli cliffs.,images/15/Image_1.jpg,images/15/Image_2.jpg,images/15/Image_3.jpg,images/15/Image_4.jpg,images/15/Image_5.jpg,"Asola Bhatti Wildlife Sanctuary, Tughlakabad / Surajkund border, South Delhi",October to February (Early morning Eco-trails & cycling tours with BNHS guide),"Sanctuary entry ₹20 (Indians), ₹100 (Foreigners)",4.4,28.4906,77.2581,Delhi Department of Forests and Wildlife / BNHS,"Name: Neelkanth Lake (Asola Bhatti Mines). Category: Lake / Hidden Nature Canyon Lake. Description: A deep emerald-blue lake nestled inside the former red-rock quartzite quarries of the Asola Bhatti Wildlife Sanctuary.. Location: Asola Bhatti Wildlife Sanctuary, Tughlakabad / Surajkund border, South Delhi. Best Time: October to February (Early morning Eco-trails & cycling tours with BNHS guide)."
16,Najafgarh Jheel (Wetland & Bird Habitat),Lakes & Water Bodies,Lake / Wetland & Birding Hotspot,A sprawling trans-boundary seasonal lake and wetland on the Delhi-Haryana border hosting hundreds of thousands of migratory birds.,"Historically a massive natural lake covering over 220 square kilometers that received overflow from the Sahibi River and drained into the Yamuna. Documented by British surveyor Major Colvin in the 1830s, the wetland once hosted Siberian cranes, flamingos, and pelicans. In recent years, environmental tribunals and wetland conservation authorities have designated it as a protected trans-boundary eco-sensitive wetland.",Expansive horizon view across the marshy wetlands filled with flocks of greater flamingos and painted storks at dawn.,images/16/Image_1.jpg,images/16/Image_2.jpg,images/16/Image_3.jpg,images/16/Image_4.jpg,images/16/Image_5.jpg,"Najafgarh Basin, South West Delhi Border",November to February (Sunrise bird-watching expeditions),Free,4.3,28.514,76.953,Wetlands International / Delhi Forest Department,"Name: Najafgarh Jheel (Wetland & Bird Habitat). Category: Lake / Wetland & Birding Hotspot. Description: A sprawling trans-boundary seasonal lake and wetland on the Delhi-Haryana border hosting hundreds of thousands of migratory birds.. Location: Najafgarh Basin, South West Delhi Border. Best Time: November to February (Sunrise bird-watching expeditions)."
17,Surajkund Lake (Sun Pool),Lakes & Water Bodies,Historical Lake & Amphitheatre / Heritage,"A 10th-century semi-circular amphitheatre-shaped stepped stone reservoir built in the backdrop of the Aravalli hills, famous for the annual International Crafts Mela.","Constructed in the 10th century by Tomar King Suraj Pal, whose family worshipped the Sun God (Surya). Built with stepped stone masonry rising like a Roman amphitheatre, it was engineered to capture rainwater cascading down the Aravalli hills. An ancient Sun Temple stood near its western embankment. It hosts the internationally renowned Surajkund International Crafts Mela every February.",Stepped stone amphitheatre curve surrounding the water reservoir against the rugged backdrop of the Aravalli hills.,images/17/Image _1.jpg,images/17/Image_2.jpg,images/17/Image_3.jpg,images/17/Image_4.jpg,images/17/Image_5.jpg,"Surajkund, Delhi-NCR Border (Adjacent to Tughlaqabad & South Delhi)",October to March (Especially February during the International Crafts Mela),"₹20 (Regular days), ₹120–₹180 (During Surajkund Mela)",4.4,28.4867,77.2831,Haryana Tourism / ASI Heritage Division,"Name: Surajkund Lake (Sun Pool). Category: Historical Lake & Amphitheatre / Heritage. Description: A 10th-century semi-circular amphitheatre-shaped stepped stone reservoir built in the backdrop of the Aravalli hills, famous for the annual International Crafts Mela.. Location: Surajkund, Delhi-NCR Border (Adjacent to Tughlaqabad & South Delhi). Best Time: October to March (Especially February during the International Crafts Mela)."
18,Damdama Lake,Lakes & Water Bodies,Lake / Scenic Natural Water Body & Adventure Hub,"A sprawling natural freshwater lake nestled in a valley of the Aravalli hills, renowned for boating, rock climbing, and camping.","Formed in 1947 when a stone-and-earthen dam was constructed by the British administration for rainwater harvesting. Over decades, it evolved into one of the largest natural lakes in the Delhi NCR region, fed by monsoon streams running down the Aravalli ranges. It supports over 190 species of migratory and native birds such as water fowls, cranes, and kingfishers.",Wide angle view across the calm blue lake waters with traditional rowboats resting against the backdrop of rolling Aravalli ridge hills.,images/18/Image_1.jpg,images/18/Image_2.jpg,images/18/Image_3.jpg,images/18/Image_4.jpg,images/18/Image_5.jpg,"Damdama, Off Sohna Road, Delhi-NCR","October to March (Pleasant weather for boating, kayaking, and camping)",Free (Boating and adventure activities ticketed separately),4.3,28.3032,77.0601,Haryana Tourism / NCR Eco-Tourism Development,"Name: Damdama Lake. Category: Lake / Scenic Natural Water Body & Adventure Hub. Description: A sprawling natural freshwater lake nestled in a valley of the Aravalli hills, renowned for boating, rock climbing, and camping.. Location: Damdama, Off Sohna Road, Delhi-NCR. Best Time: October to March (Pleasant weather for boating, kayaking, and camping)."
19,Purana Qila Lake & Moat,Lakes & Water Bodies,Lake / Historical Moat & Boating Spot,"A scenic historical water moat flanking the towering battlements of the 16th-century Purana Qila fort, providing recreational boating and heritage views.","Originally part of the protective defensive moat system and ancient course of the Yamuna River that shielded the western perimeter of Dinpanah / Purana Qila. In the late 20th century, the lake was revitalized with aeration, fountains, and pedal-boating facilities, allowing visitors to view the massive bastion walls and Bada Darwaza from the water.",Pedal-boat perspective gazing up at the massive stone battlements and Talaqi Gate reflected in the shimmering water.,images/19/Image_1.jpg,images/19/Image_2.jpg,images/19/Image_3.jpg,images/19/Image_4.jpg,images/19/Image_5.jpg,"Mathura Road, Next to National Zoological Park, New Delhi",October to March (Late afternoon 3:30 PM – 5:30 PM),₹20 for fort complex; boating approx ₹100,4.4,28.6085,77.245,Archaeological Survey of India (ASI) / Delhi Tourism,"Name: Purana Qila Lake & Moat. Category: Lake / Historical Moat & Boating Spot. Description: A scenic historical water moat flanking the towering battlements of the 16th-century Purana Qila fort, providing recreational boating and heritage views.. Location: Mathura Road, Next to National Zoological Park, New Delhi. Best Time: October to March (Late afternoon 3:30 PM – 5:30 PM)."
20,Lodhi Garden,"Open Fields, Gardens & Nature",Garden / Open Heritage Park,"A 90-acre lush heritage garden featuring 15th-century tombs of the Sayyid and Lodi dynasties, landscaped lawns, walking tracks, and ancient stone bridges.","Originally developed around the tombs of Mohammed Shah (1444) and Sikandar Lodi (1517), as well as the Sheesh Gumbad and Bara Gumbad. In 1936, the British landscaped the area as 'Lady Willingdon Park'. Following Independence, legendary landscape architect Joseph Allen Stein and Garrett Eckbo remodeled it in 1968 into a botanical public garden featuring the Athpula (eight-piered) bridge built during Akbar's reign.",The soaring Bara Gumbad and mosque seen across the expansive manicured green lawns and vibrant flower beds.,images/20/Image_1.jpg,images/20/Image_2.jpg,images/20/Image_3.jpg,images/20/Image_4.jpg,images/20/Image_5.jpg,"Lodhi Road, Near Khan Market, New Delhi",October to March (Morning 6:00 AM – 9:00 AM or evening strolls),Free,4.6,28.5931,77.2197,New Delhi Municipal Council (NDMC) / ASI,"Name: Lodhi Garden. Category: Garden / Open Heritage Park. Description: A 90-acre lush heritage garden featuring 15th-century tombs of the Sayyid and Lodi dynasties, landscaped lawns, walking tracks, and ancient stone bridges.. Location: Lodhi Road, Near Khan Market, New Delhi. Best Time: October to March (Morning 6:00 AM – 9:00 AM or evening strolls)."
21,Sunder Nursery,"Open Fields, Gardens & Nature",Garden / UNESCO Heritage Eco-Park,"A 90-acre 16th-century heritage park and botanical arboretum containing 15 conserved Mughal monuments, micro-habitat forests, and marble water fountains.","Established during the Mughal era in the 16th century as 'Azim Bagh'. In the early 20th century during the construction of New Delhi, the British converted it into a nursery ('Sunder Nursery') to propagate saplings for Lutyens' Delhi avenues. Between 2007 and 2018, the Aga Khan Trust for Culture (AKTC) transformed the site into Delhi's premier ecological heritage arboretum, conserving monuments like Sunderwala Burj and Lakkarwala Burj.",Central geometric water channel vista stretching towards the restored Sunderwala Burj dome framed by blooming seasonal flowerbeds.,images/21/Image_1.jpg,images/21/Image_2.jpg,images/21/Image_3.jpg,images/21/Image_4.jpg,images/21/Image_5.jpg,"Opposite Humayun's Tomb, Nizamuddin, New Delhi",October to March (Weekend mornings for organic markets and picnics),"₹40 (Indians), ₹80 (Foreigners)",4.7,28.5912,77.2465,Aga Khan Trust for Culture (AKTC) / CPWD,"Name: Sunder Nursery. Category: Garden / UNESCO Heritage Eco-Park. Description: A 90-acre 16th-century heritage park and botanical arboretum containing 15 conserved Mughal monuments, micro-habitat forests, and marble water fountains.. Location: Opposite Humayun's Tomb, Nizamuddin, New Delhi. Best Time: October to March (Weekend mornings for organic markets and picnics)."
